template	skill	status	reason
delivery-payload/templates/リバース検証/API/API基本設計書.md	generating-api-basic-design-for-reverse-docs	mapped	API基本設計書の生成担当
delivery-payload/templates/リバース検証/API/APIテスト設計書.md	generating-api-basic-design-for-reverse-docs	mapped	API基本設計に基づくテスト設計書の生成担当
delivery-payload/templates/リバース検証/API/API詳細設計書.md	generating-api-detail-design-for-reverse-docs	mapped	API詳細設計書の生成担当
delivery-payload/templates/リバース検証/API/API単体テスト設計書.md	generating-api-detail-design-for-reverse-docs	mapped	API詳細設計に基づく単体テスト設計書の生成担当
delivery-payload/templates/リバース検証/テーブル/論理データモデル.md	generating-table-logical-model-for-reverse-docs	mapped	論理データモデルの生成担当
delivery-payload/templates/リバース検証/テーブル/テーブルテスト設計書.md	generating-table-logical-model-for-reverse-docs	mapped	テーブルのテスト設計書の生成担当
delivery-payload/templates/リバース検証/テーブル/テーブル単体テスト設計書.md	generating-table-logical-model-for-reverse-docs	mapped	テーブルの単体テスト設計書の生成担当
delivery-payload/templates/リバース検証/テーブル/テーブル定義書.md	generating-table-definition-for-reverse-docs	mapped	テーブル定義書の生成担当
delivery-payload/templates/リバース検証/バッチ/バッチ基本設計書.md	generating-batch-basic-design-for-reverse-docs	mapped	バッチ基本設計書の生成担当
delivery-payload/templates/リバース検証/バッチ/バッチテスト設計書.md	generating-batch-basic-design-for-reverse-docs	mapped	バッチ基本設計に基づくテスト設計書の生成担当
delivery-payload/templates/リバース検証/バッチ/バッチ単体テスト設計書.md	generating-batch-basic-design-for-reverse-docs	mapped	バッチの単体テスト設計書の生成担当
delivery-payload/templates/リバース検証/バッチ/バッチ詳細設計書.md	generating-batch-detail-design-for-reverse-docs	mapped	バッチ詳細設計書の生成担当
delivery-payload/templates/リバース検証/帳票/帳票基本設計書.md	generating-report-basic-design-for-reverse-docs	mapped	帳票基本設計書の生成担当
delivery-payload/templates/リバース検証/帳票/帳票テスト設計書.md	generating-report-basic-design-for-reverse-docs	mapped	帳票基本設計に基づくテスト設計書の生成担当
